Date,Tweets,Username,Url,Followers,Likes
2022-12-28 10:32:13+00:00,"Mother of Coincidence 😍😲
#SachinTendulkar #ViratKohli #Cricket #CricketTwitter https://t.co/lgGMvBWkdM",im_piyushpawar,https://twitter.com/im_piyushpawar/status/1608048165298802689,63,0
2022-12-28 10:31:05+00:00,"@HumanTsunaME Nenu aithe Sachin Tendulkar retirement ayyaka ika cricket 🏏 ne vadilesha 🥺

Cricket lo Sachin Tendulkar, movies lo Mega Star Chiranjeevi garu are my favourite 👍",RajenderGajula2,https://twitter.com/RajenderGajula2/status/1608047881277308928,245,1
2022-12-28 10:21:57+00:00,@nimrit2012 The Worlds Best Batsman.Master Blaster SachiN Tendulkar  🔥 💯💯💯,Abhisek099,https://twitter.com/Abhisek099/status/1608045580546347008,1064,1
2022-12-28 10:14:19+00:00,@nimrit2012 @Sachin_rt_200 @sachin_rt @100MasterBlastr @Abhinandan5653 @cricviewmedia @mayankmehta_16 @MumbaiIndiansTN @mipaltan @rohitsinghcv @sunny_rp 😊❤️🏏💯🇮🇳,NorthStandGang,https://twitter.com/NorthStandGang/status/1608043660079435777,14712,1
2022-12-28 10:13:30+00:00,@Sachin_rt_200 @sachin_rt @100MasterBlastr @Abhinandan5653 @cricviewmedia @mayankmehta_16 @MumbaiIndiansTN @mipaltan @nimrit2012 @rohitsinghcv @sunny_rp 😊❤️🏏💯🇮🇳,NorthStandGang,https://twitter.com/NorthStandGang/status/1608043455611293697,14712,1
2022-12-28 10:11:04+00:00,"@meownces Steve Smith
Sam Curran
Sachin Tendulkar
Surya Kumar Yadav
Shreyas Iyer
Shakib Al Hasan
Shikhar Dhawan
Shaun Marsh
Steve Waugh
Shane Warne
Shane Watson
Steve Harmison
Stephen Fleming
Shaun Pollock
Shubman Gill
Shimron Hetmyer
Shane Bond
Sunil Gavaskar
Shaheen Afridi",Sam_marquez3393,https://twitter.com/Sam_marquez3393/status/1608042844790616064,405,0
2022-12-28 10:07:17+00:00,@CricCrazyJohns Even Akash Chopra was Sachin Tendulkar in this farmer's tournament,SIK__AND__AR,https://twitter.com/SIK__AND__AR/status/1608041891052023808,21,1
2022-12-28 10:05:03+00:00,@Sachin_rt_200 @sachin_rt @NorthStandGang @100MasterBlastr @Abhinandan5653 @cricviewmedia @mayankmehta_16 @MumbaiIndiansTN @mipaltan @rohitsinghcv @sunny_rp Unmatched legacy a GOAT 🐐 for a reason,nimrit2012,https://twitter.com/nimrit2012/status/1608041328147050497,220,2
2022-12-28 10:00:18+00:00,India also boasts of internationally acclaimed sporting stars from batting maestro #SachinTendulkar to latest badminton star P.V.Sindhu. #PVSandhu https://t.co/nvTWvYrFzR,cihs_india,https://twitter.com/cihs_india/status/1608040132661358594,210,0
2022-12-28 09:59:12+00:00,"@sachin_rt GOAT 🐐 ❤️
#SachinTendulkar Underrated AR 
ODI : 463 
RUNS : 18426
100s : 49 
50s : 96 
AVG: 44.83
HS : 200*
WKTS : 154

TEST : 200
RUNS : 15921
100s : 51
50s : 68
AVG : 53.79 
HS : 248*
WKTS : 46
#GodOfCricket🙌🙏 
@NorthStandGang
@100MasterBlastr https://t.co/arcuONtz3V",Sachin_rt_200,https://twitter.com/Sachin_rt_200/status/1608039857313681410,14596,6
2022-12-28 09:58:24+00:00,@Shebas_10dulkar Strange thing is i didn't see sachin tendulkar in this list 😵‍💫,Vishnu_says,https://twitter.com/Vishnu_says/status/1608039656603668486,778,0
2022-12-28 09:57:49+00:00,"David Warner has equalled the record of most international centuries as an opener.

David Warner: 45*
Sachin Tendulkar: 45
Chris Gayle: 42

Still Warner has 1-2 year before retirement, can easily go past Sachin!",GyaaniCricketer,https://twitter.com/GyaaniCricketer/status/1608039509966585856,1909,6
2022-12-28 09:55:07+00:00,"@balaganesh1986 @ESPNcricinfo Sachin Tendulkar rahul dravid did scratching on ball 
Caught on camera 
Nothing done just ban for 1 match i guess
Don't nedd to tell about Shahid Afridi he literally chewed the ball
So Indian players are also cheaters by your logic",Shankar82006609,https://twitter.com/Shankar82006609/status/1608038830619373569,0,0
2022-12-28 09:42:39+00:00,"Sachin Tendulkar Ad: Sachin Tendulkar encourages recognition of a child's dreams in new Ageas Federal ad, ET BrandEquity

https://t.co/P3RcvG32Il",Kavirichard1,https://twitter.com/Kavirichard1/status/1608035691606446081,3,0
2022-12-28 09:41:27+00:00,"My All Time #India ODI XI 🇮🇳

Op1- Sachin Tendulkar
Op2- Rohit Sharma
3- Virat Kohli
4- Yuvraj Singh
5- MS Dhoni (wk+C)
6-Suresh Raina
7- Ravindra Jadeja
8- Harbhajan Singh
9- Zaheer Khan
10- Jasprit Bumrah
11- Mohammed Shami
@BCCI 
@msdhoni 
@imVkohli @Dheerajsingh_ 
#ViratKohli",iamrajdeep82,https://twitter.com/iamrajdeep82/status/1608035389343952896,7,1
2022-12-28 09:40:12+00:00,Meet the Everest that can’t be reached. @sachin_rt https://t.co/hxrksk6n8f,MItnfc2o,https://twitter.com/MItnfc2o/status/1608035074351693825,465,2
2022-12-28 09:39:50+00:00,Meet the Everest that can’t be reached. @sachin_rt https://t.co/TEZi3WxnrC,Sachin_Vijay_Fc,https://twitter.com/Sachin_Vijay_Fc/status/1608034981875707904,254,3
2022-12-28 09:39:16+00:00,Meet the Everest that can’t be reached. @sachin_rt https://t.co/G0W931nVFE,Troll_CSgay,https://twitter.com/Troll_CSgay/status/1608034841907564544,806,5
2022-12-28 09:36:19+00:00,"2....ने @BCCI को एक से बढ़कर एक होनहार खुलाड़ी दिया है जिससे कई युवा खिलाड़ियों को अपने देश से खेलने का मौका नहीं मिल रहा है @BCCI इस विषय पर विचार विमर्श करें एवं खिलाड़ियों को अपने देश से खेलने का मौका दें।
@sachin_rt @SGanguly99 @virendersehwag @VVSLaxman281 @IrfanPathan",Ravindar2DU,https://twitter.com/Ravindar2DU/status/1608034098521735169,3931,0
2022-12-28 09:31:29+00:00,"డబుల్ సెంచరీ తో.. సచిన్ రికార్డును సమం చేసిన వార్నర్?

గత కొంతకాలం నుంచి సరైన ప్రదర్శన చేయడం లేదు అంటూ తీవ్రస్థాయిలో విమర్శలు ఎదుర్కొంటున్న డేవిడ్ వ

#Australia #SachinTendulkar #Cricket

@sachin_rt 

https://t.co/JdMlzt15Bh",realindiaherald,https://twitter.com/realindiaherald/status/1608032882714619905,3234,0
2022-12-28 09:24:16+00:00,@meownces Sachin Tendulkar,smarty2635,https://twitter.com/smarty2635/status/1608031066966880258,88,0
2022-12-28 09:22:52+00:00,"@BCCI Selectors Are Same As @mipaltan Selectors for Picking pathetic team,No Difference.@SDhawan25 who did not  played well only For one Series.But they Are Many players who Are flop Since years.Even Some Are Made Captain And VC.Horrible Selectors.@sachin_rt @GautamGambhir.",DAllInOneNews1,https://twitter.com/DAllInOneNews1/status/1608030714116837376,10,0
2022-12-28 09:20:17+00:00,@SunilSuman25375 @SSSNS_M12022022 @RNTata2000 @AnilAgarwal_Ved @SavitriJindal @sajjanjindal @AdityaBirlaGrp @vikasbajaj @anandmahindra @nikunjdalmia @sachin_rt @msdhoni @NSaina @Neeraj_chopra1 @akshaykumar @prakashjha27 @SrBachchan @priyankachopra @SavjiDholakia @RakeshSinha01 @bindeshwarpatha @deveshMLCbihar @QRFoundation @QueenRania @yogrishiramdev @Ach_Balkrishna @gatesfoundation @BMGFIndia @VedantaLimited 👌👌,Shivamd41782732,https://twitter.com/Shivamd41782732/status/1608030063311847424,3730,1
2022-12-28 09:16:51+00:00,"@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Next year na dean kku panna poren brooo ithu marii 🤗🤗😍😍

@arun_filali @_looser_45_",ClassicPrasanna,https://twitter.com/ClassicPrasanna/status/1608029199046160384,193,0
2022-12-28 09:07:02+00:00,"मैं बहुत ही भाग्यशाली हूं की भारतीय क्रिकेट टीम के ईशान किशन जी एवं मुकेश कुमार जी के साथ खेलने का मुझे अवसर मिला है, जिनका चयन श्रीलंका के खिलाफ होने वाले T20 सीरीज के लिए भारतीय टीम में हुआ। बिहार के दोनों लाल को बहुत बहुत बधाई। 

@ishankishan51 @sachin_rt @msdhoni https://t.co/wMOC7UaBaC",Nadeem634,https://twitter.com/Nadeem634/status/1608026727510601730,113,1
2022-12-28 09:05:25+00:00,"Shikhar Dhawan and Rohit Sharma play together in ODIs. 😎🤟

#shikhardhawan #rohitsharma #viratkohli #msdhoni #ipl #cricket #klrahul #hardikpandya #sachintendulkar #indiancricketteam https://t.co/75EnQqlSLL",khandada92786,https://twitter.com/khandada92786/status/1608026323511029761,604,0
2022-12-28 09:05:18+00:00,"The greatest ever cricketer, Don Bradman, was also the greatest ever sportsperson ever.

Ever.

Look at his stats.

Then look at the next guy, Sachin Tendulkar.

The gulf is huge.

But Bradman was a bit of an outlier. No one has even come close since he was around.",kiwiyamabushi,https://twitter.com/kiwiyamabushi/status/1608026292896649221,454,0
2022-12-28 09:05:04+00:00,"@shubh_vachan @CricCrazyNIKS @peeyushsharmaa @mayankglt Black - Smriti Mandhana
Gold - Wanindu Hasaranga
Silver - Sachin Tendulkar",FantasycricPro,https://twitter.com/FantasycricPro/status/1608026233383837696,7231,0
2022-12-28 09:03:59+00:00,"#alphaHorse #AlphaPass #MintAlphaPass  https://t.co/YDYAFqhn9r 

@sachin_rt @ewarren @AzmiShabana",000x686,https://twitter.com/000x686/status/1608025960716304389,24,0
2022-12-28 08:54:39+00:00,"Most times ending the year as Top 10 ranked ODI batsman : 

15: Vivian Richards
14: Sachin Tendulkar
13: Virat Kohli

#GOAT𓃵",GoCricket_63,https://twitter.com/GoCricket_63/status/1608023611134324737,0,0
2022-12-28 08:54:20+00:00,Meet the Everest that can’t be reached. @sachin_rt https://t.co/dhsArOpsVV,Sachinist,https://twitter.com/Sachinist/status/1608023531207675907,13506,44
2022-12-28 08:51:44+00:00,"Sachin Tendulkar Ad: Sachin Tendulkar encourages recognition of a child's dreams in new Ageas Federal ad, ET BrandEquity

https://t.co/PXRMQWbYeq",Ramyapr870295,https://twitter.com/Ramyapr870295/status/1608022880486318081,7,0
2022-12-28 08:49:40+00:00,"@_Tejapaluri @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Awesome bro, i too ❤😍💥",Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608022359524642816,1045,1
2022-12-28 08:48:31+00:00,"@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina I watched this match live 🥰
my father is cricket fan then",_Tejapaluri,https://twitter.com/_Tejapaluri/status/1608022069148798976,444,1
2022-12-28 08:39:06+00:00,ফিরে দেখা ২০২২: এক ঝলকে এই বছরে ভারতীয় ক্রিকেটের স্মরণীয় মুহূর্তগুলি #yearender2022 #india #viratkohli #ishankishan #sachintendulkar #jaspritbumrah https://t.co/TuWSk4GZ7r,OneindiaBengali,https://twitter.com/OneindiaBengali/status/1608019701178970113,2890,0
2022-12-28 08:37:16+00:00,@Star__Vijay @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @KumaranRaina ❤😍,Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608019237154754563,1045,1
2022-12-28 08:36:17+00:00,@Punter655 @FanSehajpal @realsehajpal @EktaaRKapoor @altbalaji Bro heights se kya tu talent ko judge krega aj example Sachin Tendulkar SRK y sab ki height bhut jyda nhi thi but they achieve greats heights in their carrier kuch bhi mat bola kar aj pratik ne wo krdiya h jo log 15 saal m nhi krpaye itne shor time naam kaman asaan nhi hota 🔥,KartikP05404655,https://twitter.com/KartikP05404655/status/1608018991477579776,12,2
2022-12-28 08:36:05+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @KumaranRaina 🤩🥰,Star__Vijay,https://twitter.com/Star__Vijay/status/1608018938075697154,5405,1
2022-12-28 08:33:47+00:00,@MersalTFC @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Miss him lot 🥺,Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608018363099516928,1045,0
2022-12-28 08:33:01+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Yuvi 🥺🥺,MersalTFC,https://twitter.com/MersalTFC/status/1608018166411821056,4335,1
2022-12-28 08:27:47+00:00,@Iam_neel @Sachislife @CrickeTendulkar @sachin_rt @100MasterBlastr @Puneite_ Woh to Brisbane me tha 2003-2004 test,nimrit2012,https://twitter.com/nimrit2012/status/1608016850860015616,220,0
2022-12-28 08:24:11+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Ok,sabrina_baanu,https://twitter.com/sabrina_baanu/status/1608015947289473024,473,1
2022-12-28 08:23:35+00:00,@sabrina_baanu @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Shock korai 🏃‍♂️🏃‍♂️🏃‍♂️,Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608015795187245056,1045,0
2022-12-28 08:23:34+00:00,@Sachislife @CrickeTendulkar @sachin_rt @100MasterBlastr @Puneite_ Hmm Gillespie Buckner wala yad aaya,Iam_neel,https://twitter.com/Iam_neel/status/1608015790019858432,779,0
2022-12-28 08:23:07+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina 😯,sabrina_baanu,https://twitter.com/sabrina_baanu/status/1608015677289562113,473,1
2022-12-28 08:21:51+00:00,@_FaridKhan Definitely... reminds me of the Sachin Tendulkar era. But there is always a hope.,slyslith,https://twitter.com/slyslith/status/1608015358455353344,9,0
2022-12-28 08:20:10+00:00,@sabrina_baanu @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina Vera level moment live la❤😍,Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608014935338151936,1045,1
2022-12-28 08:19:07+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina ❤️ cute,sabrina_baanu,https://twitter.com/sabrina_baanu/status/1608014671713533955,473,1
2022-12-28 08:18:37+00:00,@VJMahi05 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina 😍❤,Ram_Ro92,https://twitter.com/Ram_Ro92/status/1608014544881975298,1045,1
2022-12-28 08:17:35+00:00,@Ram_Ro92 @ImZaheer @YUVSTRONG12 @virendersehwag @sachin_rt @Star__Vijay @KumaranRaina 😻❤️,VJMahi05,https://twitter.com/VJMahi05/status/1608014282536648707,421,1
2022-12-28 08:10:03+00:00,@ViralBigBoss @sachin_rt Hi,RanaRam07005575,https://twitter.com/RanaRam07005575/status/1608012389403987972,0,0
2022-12-28 08:06:05+00:00,"@Iam_neel @CrickeTendulkar @sachin_rt @100MasterBlastr @Puneite_ Adelaide - Warne, McGrath
Sydney - McGrath",Sachislife,https://twitter.com/Sachislife/status/1608011391092527105,2991,1
2022-12-28 08:02:19+00:00,"Now the two legends have the same record.

Visit Our Website: https://t.co/tv1jNFacWU

#taj777news #SportsNews #Cricket #DavidWarner #SachinTendulkar #Australian #records #TeamIndia https://t.co/gyHjWIEwpp",taj777news,https://twitter.com/taj777news/status/1608010444018708481,11,0
2022-12-28 08:01:38+00:00,"When BCCI was preparing T-20 team for WC 2022, they kept sanju samson for ODIs, now when they are preparing ODI team for WC 2023 they moved sanju to T-20 team. same on you @IamSanjuSamson @BCCI @JayShah @sachin_rt @msdhoni",I_ankitsharma99,https://twitter.com/I_ankitsharma99/status/1608010270189977601,3,0
2022-12-28 07:58:31+00:00,@BCCI @mastercardindia Wow @BCCI what a drama again and again drop @IamSanjuSamson in Odi squad this guys average more then other players @sachin_rt @JayShah,I_ankitsharma99,https://twitter.com/I_ankitsharma99/status/1608009487285374976,3,0
2022-12-28 07:54:47+00:00,@_CricStats_ Sachin Tendulkar👆,Salim65821855,https://twitter.com/Salim65821855/status/1608008544514891777,4,2
2022-12-28 07:52:08+00:00,"@_FaridKhan International hundreds virat Kohli+ Sachin Tendulkar 173
 all Pakistani pleyar 100 haha 🤣🤣🤣",ThakurRaoDanis1,https://twitter.com/ThakurRaoDanis1/status/1608007880602517504,8,1
2022-12-28 07:48:34+00:00,@_FaridKhan Babar is greatest batsman than Sachin Tendulkar &amp; Greatest bowler than Muralidharan &amp; Warne.,snayak759,https://twitter.com/snayak759/status/1608006981281001472,30,0
2022-12-28 07:43:58+00:00,"Shikhar Dhawan and Rohit Sharma will go down as 🇮🇳' s second most successful opening pair in ODIs post Sachin Tendulkar and Sourav Ganguly 🏏

They also have 18 century opening stands which is the second highest 😯👏🏻

#Cricket #INDvSL #INDvsSL @SDhawan25 @ImRo45 https://t.co/Ljy5A7Lkpy",weRcricket,https://twitter.com/weRcricket/status/1608005826031108096,25196,35
2022-12-28 07:39:23+00:00,"Mother of coincidence 🤯

#OnThisDay #viratkohli #SachinTendulkar https://t.co/FbfXUgFsFR",cricfollowers_1,https://twitter.com/cricfollowers_1/status/1608004671662338049,118,0
2022-12-28 07:33:45+00:00,@_FaridKhan @ppushp7 Abe Gadhe don't compare with Sachin Tendulkar,snayak759,https://twitter.com/snayak759/status/1608003252972572672,30,0
